fpl_code,understat_id,fpl_name,understat_name
461484,9959,Joe White,Joe White
503724,8973,Lorenz Assignon,Lorenz Assignon
247348,12408,Daniel Muñoz,Daniel Muñoz
168636,6219,Enes Ünal,Enes Ünal
497606,12234,Tawanda Chirewa,Tawanda Chirewa
500058,12455,Jayden Danns,Jayden Danns
496221,12409,Adam Wharton,Adam Wharton
505187,10433,Cesare Casadei,Cesare Casadei
492777,10120,Conor Bradley,Conor Bradley
244850,12412,Morgan Rogers,Morgan Rogers
437757,7264,Han-Noah Massengo,Han-Noah Massengo
551232,12418,Rodrigo Duarte Ribeiro,Rodrigo Ribeiro
204814,11815,Ben Brereton Brereton Díaz,Ben Brereton Díaz
477717,9487,Maxime Esteve Estève,Maxime Estève
173268,8923,Ivo Grbic Grbić,Ivo Grbic
493125,9105,Radu Dragusin Drăgușin,Radu Dragusin
461682,12034,Brandon Aguilera Zamora B.Aguilera,Brandon Aguilera
589114,12188,Zack Nelson,Zack Nelson
232917,7027,Arijanet Muric,Arijanet Muric
